artist_name,artist_id,artist_genre,artist_city,link_to_bio
Willie Nelson,10001,Country,Abbott/Waco,https://en.wikipedia.org/wiki/Willie_Nelson
Beyonce,10002,R&B/Pop,Houston,https://en.wikipedia.org/wiki/Beyonc%C3%A9
Selena Quintanilla,10003,Tejano,Lake Jackson/Angleton,https://en.wikipedia.org/wiki/Selena
Buddy Holly,10004,Rock,Lubbock,https://en.wikipedia.org/wiki/Buddy_Holly
Bob Wills,10005,Western swing,Kosse/Waco,https://en.wikipedia.org/wiki/Bob_Wills
DJ Screw,10006,Hip-Hop,Smithville/La Grange,https://en.wikipedia.org/wiki/DJ_Screw
Lead Belly,10007,Blues,Bowie County/Dallas,https://en.wikipedia.org/wiki/Lead_Belly
Doug Sahm,10008,Tejano,San Antonio,https://en.wikipedia.org/wiki/Doug_Sahm
Lydia Mendoza,10009,Tejano/conjunto,Houston,https://en.wikipedia.org/wiki/Lydia_Mendoza
Stevie Ray Vaughan,10010,Blues/Rock,Dallas,https://en.wikipedia.org/wiki/Stevie_Ray_Vaughan
Lemon Jefferson,10011,Blues,Coutchman/Dallas,https://en.wikipedia.org/wiki/Blind_Lemon_Jefferson
George Jones,10012,Country,Saratoga/Beaumont,https://en.wikipedia.org/wiki/George_Jones
Geto Boys,10013,Hip-Hop,Houston,https://en.wikipedia.org/wiki/Geto_Boys
T-Bone Walker,10014,Blues,Linden/Dallas,https://en.wikipedia.org/wiki/T-Bone_Walker
Ornette Coleman,10015,Jazz,Fort Worth,https://en.wikipedia.org/wiki/Ornette_Coleman
George Strait,10016,Country,Poteet/San Antonio,https://en.wikipedia.org/wiki/George_Strait
Barry White,10017,Hip-Hop,Galveston,Barry White - Wikipedia
Erykah Badu,10018,R&B,Dallas,https://en.wikipedia.org/wiki/Erykah_Badu
Flaco Jimenez,10019,Tejano/conjunto,San Antonio,https://en.wikipedia.org/wiki/Flaco_Jim%C3%A9nez
Lefty Frizzell,10020,Country,Coriscana,https://en.wikipedia.org/wiki/Lefty_Frizzell
Dixie Chicks,10021,Country,Dallas,https://en.wikipedia.org/wiki/The_Chicks
Willie Johnson,10022,Gospel,Pendelton/Waco,https://en.wikipedia.org/wiki/Blind_Willie_Johnson
Roy Orbison	10023,Rock/Pop,Vernon/Dallas,https://en.wikipedia.org/wiki/Roy_Orbison
The Soul Stirrers,10024,Gospel,Trinity/Waco,https://en.wikipedia.org/wiki/The_Soul_Stirrers
St. Vincent/Annie Clark,10025,Pop,Dallas,https://en.wikipedia.org/wiki/St._Vincent_(musician)
Pauline Oliveros,10026,Electronic,Houston,https://en.wikipedia.org/wiki/Pauline_Oliveros
Guy Clark,10027,Country,Monahans/Lubbock,https://en.wikipedia.org/wiki/Guy_Clark
Roky Erickson,10028,Rock,Dallas,https://en.wikipedia.org/wiki/Roky_Erickson
Scott Joplin,10029,Ragtime,Texarkana,https://en.wikipedia.org/wiki/Scott_Joplin
Sam Hopkins,10030,Blues,Centerville/Waco,https://en.wikipedia.org/wiki/Lightnin%27_Hopkins
Freddy Fender,10031,Tejano,San Benito/McAllen,https://en.wikipedia.org/wiki/Freddy_Fender
Billy Joe Shaver,10032,Country,Coriscana,https://en.wikipedia.org/wiki/Billy_Joe_Shaver
Janis Joplin,10033,Rock/Blues,Port Arthur/Beaumont,https://en.wikipedia.org/wiki/Janis_Joplin
Townes Van Zandt,10034,Country,Fort Worth,https://en.wikipedia.org/wiki/Townes_Van_Zandt
UGK,10035,Hip-Hop,Port Arthur/Beaumont,https://en.wikipedia.org/wiki/UGK
Lyle Lovett,10036,Country,Houston,https://en.wikipedia.org/wiki/Lyle_Lovett
Robert Earl Keen,10037,Country,Houston,https://en.wikipedia.org/wiki/Robert_Earl_Keen
Mance Lipscomb,10038,Blues,Navasota/Houston,https://en.wikipedia.org/wiki/Mance_Lipscomb
Laura Canales,10039,Tejano,Kingsville,https://en.wikipedia.org/wiki/Laura_Canales
Kris Kristofferson,10040,Country,Brownsville/McAllen,https://en.wikipedia.org/wiki/Kris_Kristofferson
ZZ Top,10041,Blues/Rock,Houston,https://en.wikipedia.org/wiki/ZZ_Top
Ray Price,10042,Western swing,Wood County/Dallas,https://en.wikipedia.org/wiki/Ray_Price_(musician)
Jeffrey Jeff Walker,10043,Country,Austin,https://en.wikipedia.org/wiki/Jerry_Jeff_Walker
Waylon Jennings,10044,Country,Littlefield/Lubbock,https://en.wikipedia.org/wiki/Waylon_Jennings
Kelly Clarkson,10045,Rock/Pop,Fort Worth,https://en.wikipedia.org/wiki/Kelly_Clarkson
Little Joe y la Familia,10046,Tejano,Nixon/San Antonio,https://en.wikipedia.org/wiki/Little_Joe_(singer)
