city_name,city_id,artist_from_there,popular_genre
Houston,15001,Beyonce,R&B/Pop/Tejano/Hip-Hop/Electronic/Country/Blues/Rock 
Austin,15002,Willie Nelson,Punk/New Wave/Rock/Alternative
Fort Worth,15003,Kirk Franklin,Country/Religious/Jazz
San Antonio,15004,George Strait,Tejano/Metal/Rock/Religious/Swing/Jazz/Classical
Galveston,15005,Barry White,Hip-Hop
Grapevine,15006,Norah,Jones,Jazz/Pop
Angleton,15007,Selena Quintanilla,Tejano
La Grange,15008,DJ Screw,Hip-Hop
Dallas,15009,Stevie Ray Vaughan,Blues/Rock/Pop/R&B/Country/Swing
Kingsville,15010,Laura Canales,Tejano
Beaumont,15011,Clarence Brown,Country/Rock/Blues/Hip-Hop
Lubbock,15012,Buddy Holly,Rock/Country
El Paso,15013,Khalid,R&B/Pop 
Coriscana,15014,Lefty Frizzell,Country
Waco,15015,Willie Nelson,Country/Swing/Religious/Blues
Brownsville,15016,Kris Kristofferson,Country
Grande Prairie,15017,Selena Gomez,Pop
Texarkana,15018,Scott Joplin,Ragtime
McAllen,15019,Freddy Fender,Country/Tejano

